tenure_months,monthly_spend,support_calls,usage_hours,contract_months,late_payments,churn
7.0,24.404114,2.0,54.304405,12.0,1.0,0.0
56.0,108.79195,5.0,84.30191,12.0,0.0,0.0
48.0,143.56451,3.0,55.087307,1.0,2.0,0.0
32.0,127.789566,5.0,71.29926,12.0,1.0,0.0
32.0,56.03576,0.0,50.579678,1.0,0.0,0.0
62.0,26.93226,0.0,29.483936,24.0,3.0,0.0
7.0,142.24568,2.0,36.335266,12.0,1.0,1.0
51.0,141.81816,1.0,27.643957,24.0,0.0,0.0
15.0,89.21399,3.0,54.355732,1.0,0.0,0.0
7.0,103.50127,0.0,74.477776,24.0,1.0,0.0
38.0,80.13801,0.0,53.22022,1.0,0.0,1.0
71.0,74.569496,1.0,43.844364,1.0,1.0,0.0
53.0,35.528297,3.0,34.207207,24.0,0.0,0.0
55.0,32.577877,0.0,57.108917,12.0,1.0,0.0
52.0,50.25518,2.0,25.237358,24.0,0.0,0.0
57.0,128.76329,3.0,27.317978,12.0,0.0,0.0
37.0,38.9582,1.0,68.003265,1.0,2.0,0.0
10.0,49.470825,0.0,44.445297,1.0,1.0,0.0
61.0,91.319824,0.0,44.050915,24.0,1.0,0.0
33.0,47.96706,3.0,46.61868,12.0,3.0,1.0
37.0,41.21687,3.0,64.51742,12.0,1.0,0.0
27.0,93.23111,4.0,53.310055,1.0,2.0,0.0
14.0,67.85213,1.0,35.13837,1.0,3.0,1.0
67.0,101.4007,1.0,35.858154,24.0,1.0,0.0
57.0,138.5867,5.0,46.097782,24.0,2.0,1.0
47.0,39.62911,1.0,56.044395,1.0,1.0,0.0
29.0,138.74637,2.0,49.289803,1.0,1.0,1.0
60.0,137.3237,0.0,47.510197,1.0,0.0,0.0
40.0,127.78139,1.0,50.92567,1.0,0.0,0.0
32.0,102.06717,2.0,49.275513,24.0,1.0,0.0
33.0,100.619064,2.0,34.39234,12.0,1.0,0.0
17.0,103.09765,3.0,72.14102,1.0,3.0,0.0
7.0,109.76442,5.0,40.35377,24.0,1.0,0.0
40.0,22.142687,5.0,52.58441,24.0,0.0,0.0
64.0,144.55203,4.0,8.793295,1.0,2.0,1.0
5.0,96.12849,4.0,45.696514,24.0,1.0,0.0
62.0,121.59056,3.0,28.008217,12.0,0.0,0.0
60.0,69.04664,3.0,30.419565,1.0,0.0,0.0
20.0,21.611637,1.0,98.44372,24.0,3.0,0.0
46.0,86.2655,1.0,54.990517,1.0,0.0,0.0
12.0,85.934715,0.0,74.52045,24.0,1.0,0.0
55.0,76.80861,2.0,67.10607,12.0,1.0,0.0
51.0,64.163216,5.0,69.664856,24.0,2.0,0.0
26.0,52.47739,0.0,46.018566,1.0,1.0,1.0
5.0,88.58083,3.0,82.12804,1.0,2.0,1.0
70.0,68.786156,0.0,66.93375,24.0,1.0,0.0
33.0,146.09114,4.0,50.8267,24.0,2.0,0.0
65.0,42.48055,0.0,55.265793,24.0,2.0,0.0
49.0,61.556522,1.0,47.26535,1.0,0.0,0.0
57.0,58.214863,2.0,51.044785,12.0,2.0,0.0
55.0,90.630196,1.0,49.127987,1.0,2.0,0.0
15.0,84.90643,2.0,57.630672,1.0,1.0,1.0
27.0,103.686264,1.0,84.79948,12.0,0.0,0.0
34.0,143.50023,5.0,25.895718,12.0,0.0,0.0
36.0,57.078743,2.0,72.84709,12.0,1.0,0.0
4.0,110.0603,3.0,42.63531,1.0,2.0,1.0
40.0,23.255226,3.0,75.393265,24.0,1.0,0.0
12.0,54.1105,6.0,43.331093,24.0,1.0,0.0
54.0,80.28356,1.0,58.255074,1.0,2.0,0.0
50.0,24.029322,3.0,46.823116,24.0,3.0,0.0
67.0,100.29703,1.0,15.388158,24.0,0.0,0.0
54.0,108.18038,2.0,84.77954,1.0,3.0,0.0
27.0,117.07513,2.0,31.144928,12.0,0.0,1.0
70.0,87.154686,1.0,51.677658,24.0,2.0,0.0
30.0,98.51281,1.0,28.951565,12.0,0.0,1.0
24.0,71.48848,3.0,23.259968,1.0,0.0,0.0
66.0,25.362894,1.0,45.901203,12.0,1.0,0.0
27.0,32.99374,2.0,38.129776,24.0,1.0,0.0
6.0,105.14947,3.0,26.6237,12.0,2.0,1.0
34.0,149.4222,1.0,49.291348,1.0,2.0,1.0
58.0,22.05442,4.0,20.361866,1.0,0.0,0.0
14.0,92.485855,1.0,52.509476,24.0,1.0,0.0
34.0,117.63114,2.0,47.453465,12.0,0.0,0.0
10.0,127.48073,0.0,1.0,24.0,2.0,0.0
50.0,90.87664,2.0,39.537804,12.0,1.0,0.0
35.0,100.58908,2.0,59.3682,24.0,1.0,0.0
24.0,110.57424,2.0,28.729082,1.0,0.0,1.0
17.0,131.66562,2.0,60.235844,24.0,1.0,0.0
41.0,35.89764,2.0,58.653584,24.0,0.0,0.0
49.0,140.40369,5.0,29.64557,1.0,0.0,0.0
